Country,Year,Status,Adult Mortality,infant deaths,Alcohol,BMI,GDP,Population,Schooling,Life expectancy
Country D,2001,Developing,119,704,7.56,60.7,51064.14,61386606,2.7,58.2
Country A,2010,Developed,286,395,14.22,18.8,48210.28,10204000,15.0,76.6
Country A,2009,Developing,18,880,13.73,60.5,51701.2,85756093,17.7,68.1
Country C,2002,Developed,5,838,14.12,39.0,82402.04,43909682,5.6,79.1
Country A,2009,Developing,392,751,12.19,65.9,48480.36,3681673,2.4,56.2
Country C,2006,Developed,160,269,4.45,51.9,90059.03,11553730,5.5,76.8
Country B,2000,Developing,142,297,5.2,34.8,84188.97,93134553,12.9,65.6
Country A,2002,Developing,397,610,5.48,24.1,65129.04,90741221,7.0,53.4
Country D,2004,Developing,18,731,14.69,67.1,5732.34,50189949,19.2,71.8
Country C,2010,Developed,580,843,5.42,49.2,86501.19,49832234,2.6,63.3
Country C,2013,Developed,114,615,1.64,79.1,90561.92,11696281,19.8,79.1
Country D,2003,Developed,534,431,11.68,36.1,37535.96,56577687,0.2,62.7
Country C,2002,Developing,532,888,5.5,58.0,52638.87,46162014,9.0,53.7
Country C,2005,Developed,461,407,9.32,53.6,28138.02,76689071,5.0,64.2
Country D,2011,Developing,610,64,13.87,54.6,1520.9,10681901,11.3,54.9
Country B,2005,Developing,617,656,8.64,61.6,47971.13,711712,1.9,50.3
Country A,2003,Developing,286,37,9.57,19.7,12979.43,54149504,17.5,62.3
Country A,2008,Developing,5,27,9.65,48.5,18373.3,20645417,2.7,58.9
Country A,2010,Developing,129,288,9.19,45.6,48097.05,99509111,11.7,65.1
Country A,2005,Developing,671,919,2.4,34.0,86710.48,5847073,0.7,45.1
Country A,2014,Developing,499,878,6.85,40.5,84471.04,94127898,6.2,49.9
Country A,2008,Developed,276,236,0.12,46.3,96508.59,41951228,3.0,70.9
Country C,2012,Developed,83,125,9.4,32.5,48293.93,68998198,19.6,83.2
Country A,2010,Developing,118,383,8.63,30.5,55223.29,51002143,0.2,58.4
Country C,2009,Developing,29,325,4.78,61.7,82220.52,34735638,7.0,64.5
Country D,2009,Developed,358,84,7.86,14.7,69982.36,98226013,6.1,72.7
Country B,2001,Developing,650,748,7.4,31.9,18323.07,10730130,13.1,51.0
Country C,2014,Developed,157,245,3.77,55.8,39847.57,75524667,1.1,68.3
Country B,2005,Developing,31,387,4.41,24.6,92919.47,49250550,16.2,68.4
Country D,2013,Developing,286,928,11.44,50.1,14655.41,64511639,9.3,59.0
Country A,2003,Developed,665,886,11.34,31.2,20975.17,60824357,9.1,65.3
Country B,2001,Developed,336,265,7.05,69.0,40095.97,69387309,4.5,70.2
Country B,2004,Developing,570,760,10.77,34.5,93990.42,22281578,9.8,51.8
Country D,2013,Developing,313,803,6.77,26.1,11426.12,19253389,7.3,60.8
Country D,2014,Developed,599,204,12.77,47.1,67310.59,64556862,4.9,61.4
Country D,2002,Developed,123,227,5.0,19.5,13255.65,90126762,3.4,75.1
Country C,2005,Developed,371,239,13.91,65.8,52473.88,18502876,14.6,72.3
Country C,2010,Developing,314,72,8.14,57.6,53679.52,43200532,2.8,53.8
Country B,2014,Developed,28,670,8.04,63.9,4310.48,78191343,3.4,75.3
Country D,2013,Developing,155,387,10.07,37.9,95414.07,1679718,11.5,60.7
Country B,2007,Developed,230,377,5.12,68.5,80671.93,10770985,4.5,72.2
Country A,2003,Developed,549,211,10.87,44.5,30320.28,48206638,9.2,63.4
Country D,2011,Developed,6,647,4.81,16.6,13105.9,10616568,11.1,77.4
Country C,2003,Developed,473,794,5.97,25.7,34595.39,16081966,5.5,64.6
Country D,2004,Developing,318,675,10.12,59.8,89432.94,21846856,6.9,54.6
Country B,2005,Developing,225,648,5.68,72.7,13311.73,99541515,4.2,56.0
Country C,2010,Developed,33,170,3.01,16.7,34964.24,70871254,9.2,78.9
Country A,2006,Developing,89,151,13.08,70.5,49455.73,45015595,19.8,66.8
Country A,2005,Developing,334,676,13.83,65.9,3336.79,44802812,7.3,55.2
Country B,2006,Developing,40,808,9.4,35.0,26839.97,20346553,13.1,64.7
Country D,2008,Developed,681,103,12.17,58.2,59583.61,99330371,12.7,66.3
Country A,2003,Developed,375,221,14.8,23.1,32430.26,53657682,15.7,74.6
Country B,2009,Developing,298,281,9.23,66.9,87059.02,55004003,14.2,60.5
Country C,2014,Developed,393,387,13.63,56.0,93679.7,60259831,0.2,65.7
Country C,2000,Developed,18,371,5.4,40.7,44182.21,53338838,6.2,74.6
Country B,2014,Developed,527,128,10.51,70.5,53225.45,73300349,17.4,73.1
Country D,2008,Developed,132,403,0.85,19.7,63099.29,66730861,10.8,79.4
Country D,2006,Developing,290,219,11.84,69.2,66470.27,56752031,2.1,53.1
Country D,2003,Developing,209,172,12.45,11.7,6372.63,28185831,5.5,58.4
Country D,2009,Developed,327,471,6.02,62.7,5415.26,57450772,5.7,70.4
Country B,2007,Developing,503,859,9.59,50.1,86565.49,60307361,17.5,59.9
Country B,2011,Developing,279,987,12.88,58.8,22026.21,64839555,11.1,58.2
Country C,2006,Developing,382,452,13.26,38.9,58431.35,52680824,12.2,58.0
Country C,2011,Developing,309,607,1.61,70.5,62485.95,52583051,7.3,57.2
Country D,2001,Developing,277,501,12.41,31.9,16488.2,47016435,1.2,55.6
Country A,2000,Developed,76,51,4.12,29.2,76171.58,60341785,1.5,72.0
Country A,2008,Developing,298,93,10.91,31.1,86601.26,89658703,8.4,58.8
Country C,2006,Developing,378,575,4.88,64.2,28573.5,55636427,3.5,53.1
Country C,2013,Developed,433,20,0.85,44.7,87790.13,83904677,2.1,68.4
Country B,2009,Developed,112,105,3.16,47.6,8149.67,58514703,5.2,74.6
Country C,2000,Developed,72,847,6.14,68.2,80056.37,99068996,14.8,83.5
Country C,2012,Developing,317,199,11.12,68.3,64029.11,62699625,1.5,51.2
Country D,2003,Developing,21,843,1.52,21.3,58331.92,27768267,9.0,65.2
Country A,2014,Developed,188,351,12.2,48.5,23051.77,22581075,16.5,80.1
Country A,2004,Developing,121,280,14.95,18.8,36216.09,87574912,5.4,61.2
Country B,2004,Developed,342,962,11.83,70.8,91034.92,95225148,6.0,73.3
Country A,2013,Developed,653,281,7.11,68.6,46600.82,14999741,17.7,67.2
Country D,2013,Developing,304,611,8.53,69.5,59458.29,93433137,13.0,64.8
Country D,2013,Developed,447,848,0.1,59.3,93588.36,88095590,16.0,75.1
Country B,2004,Developing,496,538,3.15,42.7,46675.52,74320022,5.8,56.8
Country C,2010,Developed,521,244,13.49,38.3,38857.51,31364272,19.9,78.3
Country C,2015,Developed,185,947,0.34,37.7,89325.55,48677456,2.8,73.6
Country D,2002,Developed,332,574,13.57,14.6,91093.25,30750414,19.2,78.5
Country B,2004,Developing,576,853,1.71,76.4,35496.09,41804770,18.0,59.0
Country D,2003,Developed,350,885,2.0,41.5,59219.37,73290825,11.0,68.9
Country A,2014,Developed,320,428,2.64,75.1,96374.59,3850318,11.7,74.3
Country A,2004,Developed,537,953,11.99,71.5,5594.3,7240208,15.5,73.9
Country D,2006,Developing,412,37,7.18,68.0,4028.25,9167769,6.1,57.9
Country C,2004,Developing,156,418,2.19,51.2,51682.22,73351294,10.5,61.5
Country A,2013,Developing,651,301,10.31,17.1,29159.45,44308270,18.0,56.7
Country B,2014,Developing,533,638,14.11,32.7,58205.9,77227335,1.4,51.2
Country C,2013,Developing,502,70,8.59,52.3,72443.32,78503354,18.1,58.8
Country A,2013,Developed,486,898,1.49,10.9,6953.98,28076285,14.6,70.7
Country D,2007,Developed,154,645,0.83,13.0,88242.63,45298207,15.4,78.3
Country C,2007,Developed,68,764,11.94,57.4,27724.86,80168367,1.3,72.2
Country C,2002,Developed,492,524,9.39,72.2,38165.68,72882885,3.8,64.0
Country A,2004,Developing,41,173,13.84,69.9,33736.82,20768877,18.5,68.1
Country B,2011,Developed,527,974,8.21,21.8,83991.49,9962729,2.5,70.1
Country A,2003,Developing,169,89,0.95,73.8,17106.69,51604517,12.6,63.4
Country A,2013,Developing,646,367,6.06,58.7,2915.89,62244297,15.7,54.4
Country A,2013,Developing,112,800,9.87,60.1,97181.57,33782212,4.6,60.8
Country A,2004,Developed,463,206,5.78,31.3,98064.22,53901263,14.0,71.1
Country A,2007,Developing,52,61,14.99,60.1,25806.4,31331938,1.3,56.3
Country D,2003,Developed,649,318,6.09,59.7,984.8,98054161,10.0,65.6
Country A,2004,Developing,255,823,8.2,51.6,64609.41,21922140,6.7,56.0
Country B,2015,Developed,627,550,3.39,35.0,64863.91,81500434,12.9,65.2
Country C,2006,Developed,158,59,2.29,66.8,94038.65,68917275,17.8,79.6
Country D,2002,Developing,300,104,9.68,75.6,29882.13,58980706,2.5,56.2
Country B,2012,Developing,427,238,8.83,70.9,18990.94,20044705,9.0,56.7
Country A,2005,Developed,307,461,0.08,27.0,61657.42,90332447,8.5,73.7
Country B,2008,Developed,99,126,4.28,41.2,56388.92,92286506,6.5,79.6
Country C,2010,Developing,121,82,9.66,34.0,71787.79,82069103,9.6,61.3
Country B,2003,Developing,602,219,12.19,59.5,88518.48,69613530,17.6,57.6
Country A,2003,Developing,30,407,4.69,68.2,55996.53,39553587,19.5,68.4
Country C,2005,Developed,230,945,9.72,25.1,15050.02,58585817,0.1,73.3
Country A,2005,Developing,651,616,3.99,76.3,59832.99,86996434,14.8,52.8
Country A,2002,Developed,254,928,10.36,57.4,37441.45,36111111,12.3,77.6
Country D,2013,Developing,404,971,10.47,25.3,45300.87,9425684,19.9,62.4
Country C,2000,Developing,494,585,1.96,36.0,95950.46,44153404,1.8,53.5
Country C,2002,Developing,31,646,9.98,17.3,55516.96,18250850,16.2,67.5
Country A,2007,Developed,162,429,5.01,51.8,15007.23,69136042,18.7,80.6
Country B,2007,Developed,432,889,2.6,21.8,44343.7,42170445,18.2,74.7
Country C,2015,Developed,156,573,7.51,58.5,22881.63,76512002,11.2,77.2
Country B,2005,Developed,323,512,6.79,61.6,13591.48,73241066,6.6,68.1
Country B,2006,Developing,629,78,11.61,43.6,71237.8,81682913,12.8,52.8
Country C,2001,Developing,191,885,1.28,16.6,62875.48,76946344,6.1,58.1
Country B,2008,Developing,176,64,11.85,52.8,49804.0,76756437,8.2,58.3
Country C,2002,Developed,517,940,1.6,36.1,42352.67,84002526,8.9,68.0
Country D,2001,Developed,524,979,3.12,76.5,32255.66,94878331,6.0,65.7
Country C,2015,Developing,571,182,7.74,45.9,8846.47,55869614,6.8,51.0
Country C,2015,Developing,339,65,6.95,15.1,29962.0,48776800,0.1,54.5
Country C,2004,Developed,605,834,14.83,54.5,83847.54,31482512,5.9,67.1
Country D,2000,Developed,319,867,8.85,64.6,78378.36,30147156,9.4,76.5
Country B,2004,Developed,111,207,4.92,21.2,97233.16,89714611,3.5,75.1
Country D,2015,Developed,473,53,13.5,41.4,65623.91,97392942,16.1,70.5
Country B,2009,Developing,17,220,4.69,62.0,55386.29,81519601,10.8,64.4
Country C,2003,Developed,220,235,4.11,11.4,29639.65,90025062,15.9,77.3
Country C,2015,Developing,487,888,7.42,12.0,7732.18,72730560,2.6,49.6
Country D,2011,Developing,305,611,13.7,57.4,61820.93,30869124,16.4,64.2
Country D,2005,Developing,517,958,10.63,60.8,48841.81,64875726,19.2,60.2
Country D,2011,Developed,129,437,10.17,69.2,75919.5,33601526,7.0,76.1
Country D,2004,Developing,624,102,10.89,38.0,41215.2,35405262,5.7,47.4
Country C,2008,Developing,24,435,9.9,37.3,98555.86,47728033,12.9,65.8
Country C,2004,Developing,541,693,11.4,48.7,39791.32,77516629,12.7,60.2
Country A,2012,Developed,132,962,2.9,63.0,33340.51,60185109,2.2,71.8
Country D,2007,Developing,556,420,2.67,54.9,87105.09,59008249,18.5,57.7
Country D,2015,Developing,321,107,5.44,32.9,39580.87,43701841,9.6,61.2
Country B,2011,Developing,497,523,12.77,34.3,87096.19,72378346,15.3,56.8
Country B,2012,Developed,382,442,10.72,63.4,2784.06,11783469,7.2,70.0
Country C,2001,Developed,216,505,8.5,47.4,69274.7,43739645,5.2,72.8
Country A,2002,Developing,543,403,0.3,16.9,7231.69,63868958,2.2,50.9
Country D,2002,Developing,11,342,3.54,20.7,14865.83,45911901,5.5,60.7
Country A,2002,Developed,82,597,12.05,69.6,70022.5,70641063,19.9,85.2
Country A,2005,Developed,156,799,3.64,79.9,29007.85,49443413,13.2,77.7
Country C,2015,Developed,166,326,10.96,33.5,21082.82,54484316,16.1,80.1
Country A,2006,Developing,208,213,2.78,37.1,80162.54,49255110,19.2,64.6
Country D,2006,Developed,24,555,9.1,20.8,94627.37,46071592,1.6,72.6
Country C,2011,Developed,691,321,9.43,26.5,23276.45,72754026,3.3,58.4
Country A,2006,Developed,332,77,11.28,39.7,31753.74,73397124,18.6,78.1
Country C,2011,Developed,562,54,6.58,29.9,71421.63,47326253,11.3,65.8
Country C,2002,Developing,519,783,9.49,59.1,81538.52,59454920,12.7,57.5
Country B,2015,Developed,511,855,7.31,47.6,99916.27,93416953,8.6,69.3
Country C,2000,Developing,612,70,14.21,67.6,27373.4,5533656,16.3,60.0
Country A,2005,Developed,593,67,7.83,60.7,55684.03,50895521,10.3,67.1
Country B,2002,Developing,241,179,3.15,19.0,13445.19,4195420,16.5,66.9
Country D,2015,Developing,181,379,10.02,18.6,33117.47,77873384,19.8,65.7
Country D,2012,Developing,293,932,8.23,72.7,4544.61,33901309,12.9,62.4
Country D,2015,Developing,83,685,12.06,67.4,21123.31,42581574,10.6,64.7
Country D,2014,Developed,566,680,2.66,42.8,50679.17,57440126,7.3,63.7
Country D,2002,Developing,90,900,3.92,19.1,16417.72,36030319,3.9,66.5
Country A,2014,Developing,439,449,13.83,72.9,88943.86,32473178,13.1,61.0
Country C,2002,Developing,543,260,13.95,26.1,71045.39,86498341,1.3,50.6
Country B,2014,Developing,193,446,6.64,12.5,2822.21,52050722,19.1,68.3
Country C,2008,Developing,488,636,0.73,74.7,87676.32,49642968,13.0,57.3
Country C,2011,Developed,612,130,4.61,66.6,97733.23,81808995,19.2,74.1
Country A,2015,Developing,349,233,3.71,58.5,50211.06,14783098,5.4,56.0
Country A,2014,Developing,89,903,6.23,12.4,31495.34,78290380,18.9,65.6
Country A,2003,Developing,123,153,4.77,47.0,26383.27,90691581,12.2,63.4
Country B,2004,Developing,374,329,12.44,55.8,8787.58,9025082,16.2,59.6
Country A,2002,Developing,47,636,0.06,63.2,49186.36,90216747,3.6,62.1
Country C,2009,Developed,433,865,9.67,43.0,5061.5,48594156,10.0,69.2
Country B,2012,Developed,146,890,9.97,76.7,50408.53,33760128,11.4,78.1
Country A,2014,Developed,3,611,9.91,27.1,25292.22,4498175,7.9,76.1
Country A,2011,Developing,530,52,7.81,14.9,47669.37,73940072,5.1,53.5
Country A,2000,Developing,314,843,9.17,33.3,41867.49,55494233,18.1,60.3
Country C,2014,Developed,327,467,12.16,56.3,30546.17,34714883,1.7,70.5
Country A,2011,Developing,81,639,11.77,61.6,44891.39,10550846,3.1,60.2
Country C,2003,Developed,153,412,0.53,61.7,47429.69,5906037,6.4,77.2
Country B,2014,Developing,402,13,0.47,17.7,83377.49,48240354,18.4,60.9
Country A,2000,Developing,488,495,12.59,72.0,66595.05,26412845,11.3,57.5
Country D,2010,Developing,67,516,8.63,29.7,43344.0,6024135,7.5,62.7
Country D,2010,Developed,89,761,14.36,24.7,90528.93,97455047,8.1,78.1
Country C,2006,Developed,135,367,6.48,53.0,75586.29,86241263,16.8,77.1
Country A,2006,Developed,202,538,2.66,24.8,7617.9,7854092,0.5,69.9
Country A,2014,Developed,428,636,7.1,45.6,15416.9,75826125,0.2,66.2
Country D,2003,Developed,179,451,6.55,38.5,8212.7,48546033,0.9,74.6
Country B,2014,Developed,339,540,7.76,26.2,31920.39,39198762,9.4,73.6
Country B,2004,Developing,79,514,12.12,30.4,43592.88,49967886,11.6,60.8
Country C,2009,Developed,597,480,9.84,39.9,50449.38,94831655,12.5,70.2
Country D,2006,Developed,533,413,2.79,34.2,85148.65,58893317,14.6,69.9
Country C,2012,Developed,378,227,11.02,36.7,1844.73,66876267,3.8,67.8
Country C,2005,Developed,165,136,8.88,61.5,42857.43,19191316,5.2,74.2
Country B,2012,Developing,540,768,8.68,21.8,41129.29,39116397,4.9,52.2
Country D,2003,Developed,697,239,10.18,53.9,94750.22,31219703,3.0,61.0
Country C,2003,Developed,155,790,8.46,57.5,24141.64,10033858,4.9,70.9
Country B,2001,Developed,123,834,6.87,66.1,12284.46,67048700,12.3,78.3
Country B,2009,Developed,599,671,9.61,69.3,14268.91,72146116,7.3,66.2
Country A,2001,Developing,202,471,10.86,21.1,52038.27,30537896,15.4,66.5
Country D,2011,Developing,40,517,3.39,19.7,39120.84,43999231,10.7,64.6
Country D,2003,Developing,169,460,7.46,53.0,75426.5,94211188,4.2,61.1
Country A,2004,Developed,70,304,6.88,63.0,32352.08,63524549,9.3,82.5
Country C,2003,Developed,330,654,0.61,29.1,12839.78,8142372,11.9,72.1
Country B,2013,Developed,440,953,12.52,46.8,38718.24,10747747,17.3,77.8
Country B,2002,Developing,399,180,5.67,64.1,88309.41,29378778,16.7,62.2
Country B,2010,Developing,493,29,1.1,63.7,40582.38,91091821,8.5,50.0
Country A,2001,Developed,354,971,6.87,55.8,83371.09,50666904,13.0,74.0
Country B,2003,Developed,328,764,2.43,15.5,37184.43,29660144,6.0,72.9
Country C,2013,Developed,498,39,10.57,13.5,28174.49,95924071,12.7,72.1
Country C,2015,Developing,419,186,8.58,37.2,77497.53,22396748,18.3,64.1
Country A,2010,Developed,503,318,4.06,11.9,20962.99,81260428,12.5,72.4
Country C,2004,Developing,539,815,14.26,73.3,23221.48,10582763,6.1,49.4
Country D,2015,Developing,345,226,4.38,11.4,5028.79,10217028,12.9,61.1
Country D,2000,Developing,643,731,8.33,12.1,18825.18,18858438,18.1,53.9
Country B,2014,Developing,377,891,12.03,21.6,37912.6,65630311,2.7,52.7
Country B,2012,Developed,295,323,7.71,53.9,39987.29,57989844,9.6,76.1
Country D,2000,Developing,288,902,14.41,47.9,42091.78,99822584,6.4,59.4
Country C,2005,Developed,254,942,12.66,56.2,47995.31,26386960,4.8,72.4
Country A,2004,Developing,434,42,13.82,72.5,57212.47,58274240,7.9,53.8
Country B,2010,Developed,501,655,5.6,41.8,18983.43,74542356,7.9,68.5
Country B,2003,Developing,85,277,8.23,13.1,61413.72,84118263,4.2,60.2
Country D,2000,Developing,521,318,12.6,63.4,33688.63,94417659,8.1,52.5
Country D,2011,Developing,562,173,13.55,66.8,73414.37,14611473,12.7,57.4
Country A,2013,Developed,513,758,14.17,13.5,55742.58,10943217,0.5,64.2
Country B,2006,Developing,516,684,13.19,27.0,55449.15,1629211,19.8,59.1
Country C,2014,Developing,516,40,10.96,63.9,68564.42,91610275,5.9,52.2
Country C,2003,Developing,497,408,0.37,36.3,33335.25,23796631,12.5,57.7
Country D,2002,Developing,602,561,4.73,43.1,42951.83,99331198,5.7,51.3
Country A,2013,Developed,162,322,1.94,67.6,58310.64,75358427,7.9,76.1
Country D,2015,Developed,667,179,2.33,16.6,42184.48,34542034,11.0,65.3
Country A,2006,Developed,527,853,4.37,57.4,44453.53,68485812,12.2,71.0
Country C,2001,Developed,365,158,1.13,25.0,27285.08,3347840,15.4,76.9
Country A,2009,Developing,544,36,3.65,14.4,28774.13,78881561,15.8,56.3
Country C,2000,Developing,425,405,14.36,56.4,69910.79,36416332,10.4,57.0
Country A,2010,Developing,575,538,4.69,18.5,477.9,55804491,1.5,51.1
Country D,2003,Developed,364,375,2.4,62.3,9574.28,29766975,11.2,71.7
Country C,2012,Developing,108,897,10.78,24.2,94883.55,14048822,9.6,61.1
Country B,2007,Developed,14,255,12.43,13.4,18742.46,23771806,4.3,76.6
Country B,2012,Developed,23,277,4.72,17.0,41841.18,9236553,0.2,76.2
Country C,2005,Developed,623,248,4.18,68.9,84976.03,23650101,6.3,59.7
Country B,2008,Developing,321,692,3.63,36.0,60.23,41751555,5.2,55.8
Country C,2000,Developing,510,16,5.9,31.2,92521.66,32780292,9.7,53.2
Country D,2000,Developing,672,367,1.32,44.4,5396.19,19460921,15.2,54.9
Country D,2010,Developed,41,124,10.04,54.3,17128.36,10270305,8.8,78.4
Country A,2004,Developing,304,311,12.34,12.6,2958.9,87241296,19.0,65.7
Country B,2005,Developing,656,211,9.96,72.9,51976.03,26188231,4.4,50.4
Country B,2007,Developed,415,471,6.32,77.1,94312.28,7341103,4.4,68.4
Country B,2002,Developing,450,748,4.34,39.2,83911.71,66038869,12.1,55.0
Country C,2005,Developing,394,414,6.15,38.9,63992.87,27626255,17.9,61.8
Country D,2002,Developed,665,499,6.36,71.5,18589.59,51725333,13.4,67.8
Country B,2015,Developed,594,810,9.99,40.1,86966.23,10318369,13.5,69.5
Country A,2007,Developing,365,711,13.92,69.9,75489.8,28614856,16.1,58.4
Country B,2011,Developed,429,888,1.07,12.0,26721.43,18078623,13.4,73.4
Country A,2010,Developing,152,180,14.3,44.3,80518.66,52513395,15.2,63.5
Country B,2010,Developing,259,388,13.65,76.7,87721.28,60137548,17.3,62.7
Country B,2015,Developed,591,641,1.77,27.7,69837.69,75247872,0.2,56.0
Country D,2003,Developed,223,632,2.76,28.6,10083.4,27794645,17.7,79.5
Country A,2001,Developed,266,186,4.68,54.1,98425.47,45243968,4.3,69.9
Country B,2011,Developed,230,899,8.4,74.8,7646.3,73640157,18.2,80.5
Country A,2008,Developing,439,738,2.03,23.9,65464.68,71529335,5.3,54.0
Country A,2014,Developed,150,673,3.01,74.5,11097.0,65762147,9.1,73.6
Country D,2009,Developed,457,962,13.54,56.4,90546.07,1232823,18.7,75.0
Country D,2014,Developed,136,623,1.65,79.5,35030.27,41111246,2.2,73.8
Country A,2015,Developed,635,467,5.99,61.6,51174.73,81064010,14.9,73.9
Country D,2012,Developing,399,456,11.45,56.7,17917.22,86013630,7.8,57.1
Country B,2007,Developed,622,133,13.33,67.0,54678.89,74811356,0.5,60.2
Country B,2014,Developed,143,697,5.05,22.3,93887.05,84934887,18.8,85.4
Country D,2005,Developing,70,174,2.47,76.2,90168.23,26951068,2.4,59.3
Country A,2002,Developed,54,260,11.06,21.6,6436.4,97080789,15.5,81.1
Country B,2001,Developing,403,316,11.59,11.8,37856.94,27447707,7.7,59.7
Country C,2012,Developing,552,823,14.7,58.8,26779.76,46924643,16.2,55.8
Country A,2003,Developing,27,869,2.1,22.9,48162.08,18358610,15.0,66.6
Country A,2003,Developing,299,930,10.64,63.1,83381.23,12744393,12.7,57.1
Country C,2000,Developed,692,886,6.27,65.7,73898.24,17029323,18.8,70.5
Country C,2014,Developing,558,990,13.72,26.6,34430.62,78951942,2.0,49.5
Country A,2008,Developed,654,268,6.12,16.1,38297.45,52265788,16.0,69.1
Country C,2015,Developing,320,793,6.69,45.1,65442.79,1632994,13.4,60.6
Country D,2009,Developing,445,469,1.91,72.3,19462.81,98742305,6.3,52.6
Country D,2007,Developed,98,223,4.82,69.3,10317.67,61656364,10.9,81.4
Country A,2006,Developed,126,251,6.02,18.2,24296.72,45050268,12.9,79.0
Country D,2005,Developing,58,63,0.27,77.5,12447.04,8166460,14.7,64.7
Country B,2002,Developed,177,974,6.57,28.5,35230.83,40523753,3.7,70.5
Country D,2003,Developing,285,906,5.05,34.5,93759.7,41580956,2.0,55.4
Country D,2015,Developed,666,829,12.06,20.4,12073.93,89374122,2.0,64.5
Country C,2001,Developing,27,463,1.62,36.4,81841.3,14058262,5.9,63.1
Country D,2006,Developed,451,942,11.41,54.5,53488.07,6087514,3.1,71.5
Country A,2001,Developed,323,123,10.71,45.4,63308.66,19685916,10.7,77.9
Country D,2013,Developing,675,581,3.63,67.9,17049.73,47557024,8.7,48.3
Country D,2014,Developing,250,237,1.26,54.9,15179.76,864201,17.9,61.0
Country A,2009,Developing,370,74,12.63,28.4,16316.23,17127424,14.3,58.2
Country A,2000,Developed,90,441,3.75,49.0,66722.93,61351946,4.1,76.7
Country C,2005,Developed,131,499,2.19,14.5,74791.44,35102340,0.9,73.6
Country B,2003,Developing,525,521,5.39,50.7,92028.48,5531571,14.2,58.6
Country D,2014,Developed,29,911,6.02,37.3,39849.33,65334590,16.9,80.8
Country B,2007,Developing,544,267,4.9,16.9,46223.84,70777173,14.0,52.6
Country C,2000,Developed,662,966,14.65,31.5,46986.02,91693688,12.9,67.0
Country A,2008,Developed,86,486,13.21,72.9,27026.3,45226295,5.0,77.0
Country A,2005,Developed,58,986,13.1,51.0,32856.85,94367647,9.9,79.1
Country A,2015,Developing,57,599,5.99,73.2,84689.68,72116074,14.5,68.6
Country C,2013,Developed,394,49,14.44,38.8,34405.03,41462525,3.9,67.6
Country D,2001,Developed,25,654,10.26,78.5,86916.16,71728501,9.5,81.2
Country C,2007,Developed,190,58,12.48,35.2,30561.51,33562474,2.3,71.1
Country A,2004,Developed,76,453,7.52,63.0,34021.32,28605197,10.6,80.3
Country D,2004,Developing,371,829,2.42,31.4,56050.07,86336830,11.5,59.9
Country A,2004,Developed,506,722,13.3,17.4,10357.53,53891836,10.7,73.4
Country A,2006,Developed,183,71,7.3,68.3,92210.12,32006810,9.4,73.4
Country C,2006,Developed,154,755,14.53,63.4,82048.96,31568127,11.7,80.5
Country C,2009,Developed,269,750,3.83,67.4,67066.86,13033799,19.9,80.5
Country B,2010,Developing,278,189,14.89,31.0,98813.1,81219348,12.5,60.8
Country A,2006,Developed,340,995,3.34,59.3,1649.14,61049032,15.1,75.5
Country D,2011,Developed,23,561,5.53,25.4,41135.48,10542995,3.8,76.3
Country A,2009,Developed,432,716,8.91,10.8,85841.39,83393558,10.6,71.7
Country D,2001,Developed,526,565,10.4,70.7,43330.08,190624,0.2,61.4
Country B,2007,Developing,606,821,10.81,46.6,573.87,56235898,0.6,48.7
Country A,2000,Developed,343,992,7.15,78.9,15817.52,2071689,6.4,71.6
Country D,2015,Developed,52,735,1.16,37.0,43435.54,19290730,9.3,77.3
Country D,2012,Developing,339,155,7.45,77.0,66811.39,43248178,11.5,59.0
Country B,2013,Developed,41,871,5.03,53.1,16307.29,46623651,17.8,85.3
Country C,2001,Developing,676,562,9.87,45.9,44831.9,69141105,15.4,53.0
Country B,2010,Developed,518,752,2.74,31.2,1328.21,65124585,6.0,65.4
Country D,2006,Developed,407,841,5.91,67.8,47776.18,86039502,14.9,72.9
Country B,2003,Developed,138,672,14.49,68.0,89597.65,67097474,11.0,73.6
Country C,2010,Developed,99,640,1.34,39.2,59696.96,21248624,15.6,84.4
Country A,2009,Developed,341,84,9.04,60.9,44093.53,62059086,8.2,70.6
Country B,2009,Developed,316,68,1.37,41.3,16267.82,69898888,1.8,72.1
Country B,2008,Developed,542,384,2.36,61.8,20281.74,63328781,12.4,67.9
Country A,2010,Developed,225,372,9.08,79.6,7697.17,40304160,11.1,74.8
Country B,2008,Developed,261,54,6.67,28.4,74253.98,83638408,19.1,79.5
Country C,2013,Developed,247,84,8.23,54.4,7759.67,67754730,3.2,72.9
Country D,2002,Developed,79,856,13.2,36.6,38425.69,59371783,13.1,79.8
Country B,2012,Developed,697,979,12.26,48.4,74996.98,7661492,9.5,62.7
Country A,2013,Developing,692,940,13.32,71.2,71296.63,31310204,7.6,49.8
Country A,2012,Developed,473,840,9.25,34.3,57774.34,89248376,15.9,76.0
Country B,2002,Developing,77,591,7.35,15.1,57152.21,27735953,16.2,67.2
Country A,2008,Developing,262,731,6.89,65.9,9078.29,67068459,14.3,66.3
Country D,2012,Developed,2,935,11.1,48.9,17532.78,31994171,1.7,76.2
Country D,2009,Developing,17,621,7.82,41.5,53497.71,69849058,6.9,65.1
Country A,2014,Developed,344,764,1.6,22.8,34840.63,20804801,0.9,69.6
Country B,2011,Developed,12,316,2.14,16.5,1942.76,40079124,6.9,76.9
